Nigeria,1383,85.58
United Kingdom,77,4.76
Ghana,39,2.41
"Kenya ",21,1.30
India,18,1.11
United States,13,0.80
"Canada ",9,0.56
"Uganda ",7,0.43
"South Africa ",6,0.37
Germany,6,0.37
Cameroon,4,0.25
Tanzania,4,0.25
Zimbabwe,3,0.19
Ethiopia,2,0.12
"Scotland ",2,0.12
Namibia,2,0.12
Italy,1,0.06
Burundi,1,0.06
Ireland,1,0.06
Sudan,1,0.06
"Egypt ",1,0.06
czech republic,1,0.06
Botswana,1,0.06
Portugal,1,0.06
Peru,1,0.06
Malta,1,0.06
Philippines,1,0.06
Sweden,1,0.06
Nepal,1,0.06
"France ",1,0.06
Rwanda,1,0.06
Poland,1,0.06
"Gambia ",1,0.06
Hungary,1,0.06
"United Arab Emirates ",1,0.06
Sierra Leone,1,0.06
